date,apprehended,cbp_custody,transferred,hhs_care,discharged,net_flow,hhs_care_lag1,transferred_lag1,discharged_lag1,hhs_care_lag7,transferred_lag7,discharged_lag7,hhs_care_lag14,transferred_lag14,discharged_lag14,hhs_care_rollmean7,hhs_care_rollstd7,net_flow_rollmean7,hhs_care_rollmean14,hhs_care_rollstd14,net_flow_rollmean14,day_of_week,day_name,month,month_name,quarter,is_weekend,week_of_year,is_holiday_month
2023-01-12,33.0,53.0,34.0,6566.0,436.0,-402.0,,,,,,,,,,,,,,,,3,Thursday,1,January,1,0,2,1
2023-01-13,32.9,53.0,34.5,6566.0,415.1,-380.6,6566.0,34.0,436.0,,,,,,,,,,,,,4,Friday,1,January,1,0,2,1
2023-01-14,32.8,53.0,35.0,6566.0,394.2,-359.2,6566.0,34.5,415.1,,,,,,,,,,,,,5,Saturday,1,January,1,1,2,1
2023-01-15,32.7,53.0,35.5,6566.0,373.3,-337.8,6566.0,35.0,394.2,,,,,,,,,,,,,6,Sunday,1,January,1,1,2,1
2023-01-16,32.6,53.0,36.0,6566.0,352.4,-316.4,6566.0,35.5,373.3,,,,,,,,,,,,,0,Monday,1,January,1,0,3,1
2023-01-17,32.5,53.0,36.5,6566.0,331.5,-295.0,6566.0,36.0,352.4,,,,,,,,,,,,,1,Tuesday,1,January,1,0,3,1
2023-01-18,32.4,53.0,37.0,6566.0,310.6,-273.6,6566.0,36.5,331.5,,,,,,,6566.0,0.0,-337.8,,,,2,Wednesday,1,January,1,0,3,1
2023-01-19,32.3,53.0,37.5,6566.0,289.70000000000005,-252.20000000000005,6566.0,37.0,310.6,6566.0,34.0,436.0,,,,6566.0,0.0,-316.40000000000003,,,,3,Thursday,1,January,1,0,3,1
2023-01-20,32.2,53.0,38.0,6566.0,268.8,-230.8,6566.0,37.5,289.70000000000005,6566.0,34.5,415.1,,,,6566.0,0.0,-295.0,,,,4,Friday,1,January,1,0,3,1
2023-01-21,32.1,53.0,38.5,6566.0,247.9,-209.4,6566.0,38.0,268.8,6566.0,35.0,394.2,,,,6566.0,0.0,-273.6,,,,5,Saturday,1,January,1,1,3,1
2023-01-22,32.0,49.0,39.0,7122.0,227.0,-188.0,6566.0,38.5,247.9,6566.0,35.5,373.3,,,,6645.428571428572,210.1482469931303,-252.20000000000002,,,,6,Sunday,1,January,1,1,3,1
2023-01-23,32.0,50.0,39.0,7280.0,181.0,-142.0,7122.0,39.0,227.0,6566.0,36.0,352.4,,,,6747.428571428572,313.1873013298682,-227.28571428571428,,,,0,Monday,1,January,1,0,4,1
2023-01-24,47.0,42.0,47.0,7433.0,175.0,-128.0,7280.0,39.0,181.0,6566.0,36.5,331.5,,,,6871.285714285715,391.2001679812667,-203.42857142857142,,,,1,Tuesday,1,January,1,0,4,1
2023-01-25,20.0,22.0,41.0,7538.0,180.0,-139.0,7433.0,47.0,175.0,6566.0,37.0,310.6,,,,7010.142857142857,434.84956347815574,-184.20000000000002,6788.071428571428,374.67780297737926,-261.0,2,Wednesday,1,January,1,0,4,1
2023-01-26,20.75,22.0,33.5,7538.0,210.75,-177.25,7538.0,41.0,180.0,6566.0,37.5,289.70000000000005,6566.0,34.0,436.0,7149.0,424.4537666224667,-173.4928571428571,6857.5,417.92320788908984,-244.94642857142858,3,Thursday,1,January,1,0,4,1
2023-01-27,21.5,22.0,26.0,7538.0,241.5,-215.5,7538.0,33.5,210.75,6566.0,38.0,268.8,6566.0,34.5,415.1,7287.857142857143,355.3000743838115,-171.30714285714285,6926.928571428572,445.5938931161616,-233.15357142857144,4,Friday,1,January,1,0,4,1
2023-01-28,22.25,22.0,18.5,7538.0,272.25,-253.75,7538.0,26.0,241.5,6566.0,38.5,247.9,6566.0,35.0,394.2,7426.714285714285,165.30448096942254,-177.64285714285714,6996.357142857143,460.5060105083162,-225.62142857142857,5,Saturday,1,January,1,1,4,1
2023-01-29,23.0,45.0,11.0,7472.0,303.0,-292.0,7538.0,18.5,272.25,7122.0,39.0,227.0,6566.0,35.5,373.3,7476.714285714285,96.30976808491445,-192.5,7061.071428571428,459.03351047201704,-222.35,6,Sunday,1,January,1,1,4,1
2023-01-30,34.0,54.0,29.0,7743.0,196.0,-167.0,7472.0,11.0,303.0,7280.0,39.0,181.0,6566.0,36.0,352.4,7542.857142857143,97.67365487756263,-196.07142857142858,7145.142857142857,469.06057623277576,-211.67857142857142,0,Monday,1,January,1,0,5,1
2023-01-31,26.0,36.0,36.0,7803.0,158.0,-122.0,7743.0,29.0,196.0,7433.0,47.0,175.0,6566.0,36.5,331.5,7595.714285714285,124.69257433879655,-195.21428571428572,7233.5,468.08147712846807,-199.32142857142858,1,Tuesday,1,January,1,0,5,1
2023-02-01,25.0,32.0,27.0,7903.0,231.0,-204.0,7803.0,36.0,158.0,7538.0,41.0,180.0,6566.0,37.0,310.6,7647.857142857143,166.0074582374968,-204.5,7329.0,457.6943891355376,-194.35,2,Wednesday,2,February,1,0,5,0
2023-02-02,15.0,13.0,23.0,7879.0,298.0,-275.0,7903.0,27.0,231.0,7538.0,33.5,210.75,6566.0,37.5,289.70000000000005,7696.571428571428,177.99705722553483,-218.46428571428572,7422.785714285715,422.4911794384536,-195.97857142857143,3,Thursday,2,February,1,0,5,0
2023-02-03,15.333333333333334,13.0,20.333333333333332,7879.0,312.6666666666667,-292.33333333333337,7879.0,23.0,298.0,7538.0,26.0,241.5,6566.0,38.0,268.8,7745.285714285715,173.98344201456632,-229.4404761904762,7516.571428571428,358.56481321334934,-200.37380952380954,4,Friday,2,February,1,0,5,0
2023-02-04,15.666666666666666,13.0,17.666666666666668,7879.0,327.3333333333333,-309.66666666666663,7879.0,20.333333333333332,312.6666666666667,7538.0,18.5,272.25,6566.0,38.5,247.9,7794.0,152.70996474798605,-237.42857142857142,7610.357142857143,244.3234322786871,-207.53571428571428,5,Saturday,2,February,1,1,5,0
2023-02-05,16.0,18.0,15.0,7586.0,342.0,-327.0,7879.0,17.666666666666668,327.3333333333333,7472.0,11.0,303.0,7122.0,39.0,227.0,7810.285714285715,113.75809756629437,-242.42857142857142,7643.5,200.52690208931327,-217.46428571428572,6,Sunday,2,February,1,1,5,0
2023-02-06,11.0,22.0,12.0,7720.0,196.0,-184.0,7586.0,15.0,342.0,7743.0,29.0,196.0,7280.0,39.0,181.0,7807.0,116.32855768611223,-244.85714285714286,7674.928571428572,171.5618140611557,-220.46428571428572,0,Monday,2,February,1,0,6,0
2023-02-07,16.0,20.0,20.0,7855.0,200.0,-180.0,7720.0,12.0,196.0,7803.0,36.0,158.0,7433.0,47.0,175.0,7814.428571428572,117.68298821105576,-253.14285714285714,7705.071428571428,162.6253193862905,-224.17857142857142,1,Tuesday,2,February,1,0,6,0
2023-02-08,93.0,196.0,169.0,7915.0,317.0,-148.0,7855.0,20.0,200.0,7903.0,27.0,231.0,7538.0,41.0,180.0,7816.142857142857,119.26501103484051,-245.14285714285714,7732.0,164.03939489318265,-224.82142857142858,2,Wednesday,2,February,1,0,6,0
2023-02-09,124.0,234.0,161.0,7908.0,353.0,-192.0,7915.0,169.0,317.0,7879.0,23.0,298.0,7538.0,33.5,210.75,7820.285714285715,122.2779815089475,-233.28571428571428,7758.428571428572,160.13874478843638,-225.875,3,Thursday,2,February,1,0,6,0
2023-02-10,113.33333333333333,234.0,165.0,7908.0,341.0,-176.0,7908.0,161.0,353.0,7879.0,20.333333333333332,312.6666666666667,7538.0,26.0,241.5,7824.428571428572,125.05846251900259,-216.66666666666666,7784.857142857143,151.24654205473533,-223.05357142857142,4,Friday,2,February,1,0,6,0
2023-02-11,102.66666666666667,234.0,169.0,7908.0,329.0,-160.0,7908.0,165.0,341.0,7879.0,17.666666666666668,327.3333333333333,7538.0,18.5,272.25,7828.571428571428,127.62165064863964,-195.28571428571428,7811.285714285715,136.38995483619055,-216.35714285714286,5,Saturday,2,February,1,1,6,0
2023-02-12,92.0,203.0,173.0,7434.0,317.0,-144.0,7908.0,169.0,329.0,7586.0,15.0,342.0,7472.0,11.0,303.0,7806.857142857143,178.54451225714166,-169.14285714285714,7808.571428571428,143.83629278063813,-205.78571428571428,6,Sunday,2,February,1,1,6,0
2023-02-13,186.0,259.0,172.0,7483.0,244.0,-72.0,7434.0,173.0,317.0,7720.0,12.0,196.0,7743.0,29.0,196.0,7773.0,216.2498554912762,-153.14285714285714,7790.0,167.75073082495368,-199.0,0,Monday,2,February,1,0,7,0
2023-02-14,154.0,225.0,220.0,7794.0,223.0,-3.0,7483.0,172.0,244.0,7855.0,20.0,200.0,7803.0,36.0,158.0,7764.285714285715,213.60767330607754,-127.85714285714286,7789.357142857143,167.7143208154622,-190.5,1,Tuesday,2,February,1,0,7,0
2023-02-15,91.0,199.0,172.0,7869.0,290.0,-118.0,7794.0,220.0,223.0,7915.0,169.0,317.0,7903.0,27.0,231.0,7757.714285714285,208.85298999193017,-123.57142857142857,7786.928571428572,166.18130242215472,-184.35714285714286,2,Wednesday,2,February,1,0,7,0
2023-02-16,81.0,213.0,153.0,7793.0,361.0,-208.0,7869.0,172.0,290.0,7908.0,161.0,353.0,7879.0,23.0,298.0,7741.285714285715,199.36876576310203,-125.85714285714286,7780.785714285715,164.0924591955205,-179.57142857142858,3,Thursday,2,February,1,0,7,0
2023-02-17,113.0,213.0,160.75,7793.0,323.0,-162.25,7793.0,153.0,361.0,7908.0,165.0,341.0,7879.0,20.333333333333332,312.6666666666667,7724.857142857143,187.7404489993408,-123.89285714285714,7774.642857142857,161.7256019610647,-170.2797619047619,4,Friday,2,February,1,0,7,0
2023-02-18,145.0,213.0,168.5,7793.0,285.0,-116.5,7793.0,160.75,323.0,7908.0,169.0,329.0,7879.0,17.666666666666668,327.3333333333333,7708.428571428572,173.537562833767,-117.67857142857143,7768.5,159.06832107377383,-156.48214285714286,5,Saturday,2,February,1,1,7,0
2023-02-19,177.0,213.0,176.25,7793.0,247.0,-70.75,7793.0,168.5,285.0,7434.0,173.0,317.0,7586.0,15.0,342.0,7759.714285714285,125.2473742714898,-107.21428571428571,7783.285714285715,150.17140390050602,-138.17857142857142,6,Sunday,2,February,1,1,7,0
